_id,Emp_ID,Division,Business_Title,Cluster
EID-1047,LL-1047,Operations,Head of Operations,Operation-Management
EID-1048,LL-1048,Operations,People Business Partner,People-Business-Partner
EID-1049,LL-1049,Technology,Data Analyst lead,Data-Analysis
EID-1050,LL-1050,Management,Office assistant,Management
EID-1051,LL-1051,Productions,Senior Product Marketer,Productions
EID-1052,LL-1052,People,Senior People Analyst,People-Tech
EID-1053,LL-1053,People,Operations Assistance,Operation-Management
EID-1054,LL-1054,People,Senior Reward Partner,Comp&Benefit
EID-1055,LL-1055,Productions,Junior Researcher,Productions
EID-1056,LL-1056,Operations,AFC Associate,Operation-Management
EID-1057,LL-1057,Logistics,Junior business partner,People-Business-Partner
EID-1058,LL-1058,Logistics,Senior Operations Analyst,Warehousing
EID-1059,LL-1059,Technology,Data Analsyt,Data-Analysis
EID-1060,LL-1060,Management,People Business Partner,Management
EID-1061,LL-1061,Productions,Senior Product Marketer,Productions
EID-1062,LL-1062,People,Senior People Analyst,People-Tech
EID-1063,LL-1063,Logistics,Head of Operations,Logistic-Operations
EID-1064,LL-1064,People,Senior Reward Partner,Comp&Benefit
EID-1065,LL-1065,Productions,Lead Researcher,Productions
EID-1066,LL-1066,Operations,AFC Associate,Operation-Management
EID-1067,LL-1067,Logistics,Junior business partner,People-Business-Partner
EID-1068,LL-1068,Logistics,Senior Operations Analyst,Packaging
EID-1069,LL-1069,Technology,Data Analsyt,Data-Analysis
EID-1070,LL-1070,Management,Lead Mangement,Management
EID-1071,LL-1071,Management,People Business Partner,Management
EID-1072,LL-1072,Management,Lead Mangement,Management
EID-1073,LL-1073,Management,People Business Partner,Management
EID-1074,LL-1074,Operations,IT Support Manager,Tech-Operations
EID-1075,LL-1075,Operations,Senior business partner,People-Business-Partner
EID-1076,LL-1076,Logistics,Senior Operations Analyst,Quality-Assurance
EID-1077,LL-1077,Technology,Durector of Data Analsyt Team,Data-Analysis
EID-1078,LL-1078,Management,Management Asistance,Management
EID-1079,LL-1079,Management,People Business Partner,Management
EID-1080,LL-1080,Operations,Executive Office Manager,Management
EID-1081,LL-1081,Logistics,Senior business partner,Transportation
EID-1082,LL-1082,Logistics,Senior Operations Analyst,Warehousing
EID-1083,LL-1083,Technology,Data Analsyt,Data-Analysis
EID-1084,LL-1084,Logistics,Operations Assistance,Logistic-Operations
EID-1085,LL-1085,Technology,Senior Software Engineer,Engineering
EID-1086,LL-1086,People,Junior Reward Partner,Comp&Benefit
EID-1087,LL-1087,Technology,Senior Android App Developer,Engineering
EID-1088,LL-1088,Technology,Senior Software Engineer,Engineering
EID-1089,LL-1089,Technology,People Business Partner,People-Business-Partner
EID-1090,LL-1090,Technology,Data Analyst ,Data-Analysis
EID-1091,LL-1091,Technology,Data Analyst Junior,Data-Analysis
EID-1092,LL-1092,Technology,Data Analyst lead,Data-Analysis
EID-1093,LL-1093,Technology,Data Analsyt,Data-Analysis
EID-1094,LL-1094,Technology,Data Analsyt,Data-Analysis
EID-1095,LL-1095,Technology,Durector of Data Analsyt Team,Data-Analysis
EID-1096,LL-1096,Technology,Data Analsyt,Data-Analysis
EID-1097,LL-1097,Technology,Senior Software Engineer,Engineering
EID-1098,LL-1098,Technology,Senior Android App Developer,Engineering
EID-1099,LL-1099,Technology,Senior Software Engineer,Engineering
EID-1100,LL-1100,Technology,People Business Partner,People-Business-Partner
EID-1101,LL-1101,Technology,Data Analyst ,Data-Analysis
EID-1102,LL-1102,Technology,Data Analyst Junior,Data-Analysis
EID-1103,LL-1103,Technology,Data Analyst lead,Data-Analysis
EID-1104,LL-1104,Technology,Data Analsyt,Data-Analysis
EID-1105,LL-1105,Technology,Data Analsyt,Data-Analysis
EID-1106,LL-1106,Logistics,Director of Data Analsyt Team,Data-Analysis
EID-1107,LL-1107,Technology,Data Analsyt,Data-Analysis
EID-1108,LL-1108,Operations,Operations Team Lead,Operation-Management
EID-1109,LL-1109,Operations,Junior Operations Analyst,Product-Management
EID-1110,LL-1110,Technology,Data Analyst ,Data-Analysis
EID-1111,LL-1111,People,Reward Analyst,Comp&Benefit
EID-1112,LL-1112,Technology,Data Analyst Junior,Data-Analysis
EID-1113,LL-1113,Operations,Head of Operations,Operation-Management
EID-1114,LL-1114,Logistics,People Business Partner,People-Business-Partner
EID-1115,LL-1115,Technology,Data Scientist,Data-Science
EID-1116,LL-1116,Management,Office assistant,Management
EID-1117,LL-1117,Productions,Senior Product Marketer,Productions
EID-1118,LL-1118,People,Senior People Analyst,People-Tech
EID-1119,LL-1119,Logistics,Operations Assistance,Quality-Assurance
EID-1120,LL-1120,People,Senior Reward Partner,Comp&Benefit
EID-1121,LL-1121,Productions,Lead Researcher,Productions
EID-1122,LL-1122,Operations,AFC Associate,Operation-Management
EID-1123,LL-1123,Logistics,Junior business partner,People-Business-Partner
EID-1124,LL-1124,Logistics,Senior Operations Analyst,Warehousing
EID-1125,LL-1125,Logistics,Data Analsyt,Data-Analysis
EID-1126,LL-1126,Management,People Business Partner,Management
EID-1127,LL-1127,Productions,Senior Product Marketer,Productions
EID-1128,LL-1128,People,Senior People Analyst,People-Tech
EID-1129,LL-1129,Logistics,Head of Operations,Procurement
EID-1130,LL-1130,People,Compensation Specialist,Comp&Benefit
EID-1131,LL-1131,Productions,Lead Researcher,Productions
EID-1132,LL-1132,Operations,AFC Associate,Operation-Management
EID-1133,LL-1133,Logistics,Senior business partner,People-Business-Partner
EID-1134,LL-1134,Operations,IT Support Manager,Tech-Operations
EID-1135,LL-1135,Logistics,People Business Partner,People-Business-Partner
EID-1136,LL-1136,Technology,Data Scientist,Data-Science
EID-1137,LL-1137,Management,Office assistant,Management
EID-1138,LL-1138,Productions,Senior Product Marketer,Productions
EID-1139,LL-1139,People,Senior People Analyst,People-Tech
EID-1140,LL-1140,Logistics,Operations Assistance,Transportation
EID-1141,LL-1141,People,Reward Analyst,Comp&Benefit
EID-1142,LL-1142,Productions,Lead Researcher,Productions
EID-1143,LL-1143,Logistics,AFC Associate,Warehousing
EID-1144,LL-1144,Logistics,Senior business partner,People-Business-Partner
EID-1145,LL-1145,Logistics,Senior Operations Analyst,Procurement
EID-1146,LL-1146,Logistics,Data Analsyt,Data-Analysis
EID-1147,LL-1147,Management,Senior People Business Partner,Management
EID-1148,LL-1148,Productions,Senior Product Marketer,Productions
EID-1149,LL-1149,People,Senior People Analyst,People-Tech
EID-1150,LL-1150,Logistics,Head of Operations,Quality-Assurance
EID-1151,LL-1151,People,Senior Reward Partner,Comp&Benefit
EID-1152,LL-1152,Productions,Lead Researcher,Productions
EID-1153,LL-1153,Logistics,AFC Associate,Transportation
EID-1154,LL-1154,Logistics,Accounting Specialist,Procurement
EID-1155,LL-1155,People,Junior People Analyst,People-Tech
EID-1156,LL-1156,Logistics,Operations Manager,Logistic-Operations
EID-1157,LL-1157,People,Compensation Analyst,Comp&Benefit
EID-1158,LL-1158,Productions,Lead Researcher,Productions
EID-1159,LL-1159,Operations,AFC Analyst,Operation-Management
EID-1160,LL-1160,Logistics,Senior business partner,People-Business-Partner
EID-1161,LL-1161,People,Operations Manager,Operation-Management
EID-1162,LL-1162,People,Senior Reward Partner,Comp&Benefit
EID-1163,LL-1163,Productions,Lead Researcher,Productions
EID-1164,LL-1164,Operations,AFC Analyst,Operation-Management
EID-1165,LL-1165,Logistics,Senior business partner,People-Business-Partner
EID-1166,LL-1166,Logistics,Operations Specialist,Quality-Assurance
EID-1167,LL-1167,People,Benefit Partner,Comp&Benefit
EID-1168,LL-1168,Productions,Lead Researcher,Productions
EID-1169,LL-1169,Operations,AFC Analyst,Operation-Management
EID-1170,LL-1170,Logistics,Transportation Manager,Transportation
EID-1171,LL-1171,Logistics,Operations Specialist,Warehousing
EID-1172,LL-1172,People,Senior Reward Partner,Comp&Benefit
EID-1173,LL-1173,Productions,Lead Researcher,Productions
EID-1174,LL-1174,Operations,AFC Analyst,Operation-Management
EID-1175,LL-1175,Logistics,Senior business partner,People-Business-Partner
EID-1176,LL-1176,Operations,AFC Analyst,Operation-Management
EID-1177,LL-1177,Logistics,Senior business partner,People-Business-Partner
EID-1178,LL-1178,Logistics,Supply Chain Analyst,Packaging
EID-1179,LL-1179,Logistics,Logistic Manager,Quality-Assurance
EID-1180,LL-1180,Logistics,Supply Chain Operations Lead,Transportation
EID-1181,LL-1181,Logistics,Warehouse Coordinator Lead,Warehousing
EID-1182,LL-1182,Logistics,Senior Team Lead Logistics,Logistic-Operations
EID-1183,LL-1183,Logistics,Logistics Data Analyst,Data-Analysis
EID-1184,LL-1184,Logistics,Senior business partner,People-Business-Partner
EID-1185,LL-1185,Logistics,Operations Specialist,Quality-Assurance
EID-1186,LL-1186,Logistics,Senior Logistic Partner,Transportation
EID-1187,LL-1187,Logistics,Senior Logistic Analyst,Warehousing
EID-1188,LL-1188,Logistics,Head of Logistic Operation,Logistic-Operations
EID-1189,LL-1189,Logistics,Senior Supply Chain Analyst,Procurement
EID-1190,LL-1190,Logistics,Junior Operations Manager,Packaging
EID-1191,LL-1191,Logistics,Senior Operations Analyst,Quality-Assurance
EID-1192,LL-1192,Logistics,Lead Warehouse Manager,Transportation
EID-1193,LL-1193,Logistics,Logistic Partner,Warehousing
EID-1194,LL-1194,Logistics,Logistic Partner,Logistic-Operations
EID-1195,LL-1195,Logistics,Logistic Partner,Procurement
EID-1196,LL-1196,Logistics,Logistic Partner,Packaging
EID-1197,LL-1197,Logistics,Supply Chain Analyst,Quality-Assurance
EID-1198,LL-1198,Logistics,Logistic Manager,Transportation
EID-1199,LL-1199,Logistics,Supply Chain Operations Lead,Warehousing
EID-1200,LL-1200,Logistics,Warehouse Coordinator Lead,Logistic-Operations
EID-1201,LL-1201,Logistics,Senior Team Lead Logistics,Procurement
EID-1202,LL-1202,Logistics,Logistics Data Analyst,Data-Analysis
EID-1203,LL-1203,Logistics,Senior business partner,People-Business-Partner
EID-1204,LL-1204,Logistics,Operations Specialist,Transportation
EID-1205,LL-1205,Logistics,Senior Logistic Partner,Warehousing
EID-1206,LL-1206,Logistics,Senior Logistic Analyst,Logistic-Operations
EID-1207,LL-1207,Logistics,Logistic Operation Specialist,Procurement
EID-1208,LL-1208,Logistics,Senior Supply Chain Analyst,Packaging
EID-1209,LL-1209,Logistics,Junior Operations Manager,Quality-Assurance
EID-1210,LL-1210,Logistics,Senior Operations Analyst,Transportation
EID-1211,LL-1211,Logistics,Lead Warehouse Manager,Warehousing
EID-1212,LL-1212,Logistics,Logistic Partner,Logistic-Operations
EID-1213,LL-1213,Logistics,Senior Logistic Partner,Procurement
EID-1214,LL-1214,Logistics,Logistic Partner,Packaging
EID-1215,LL-1215,Logistics,Senior Logistic Partner,Quality-Assurance
EID-1216,LL-1216,Marketing,Junior Business Partner,People-Business-Partner
EID-1217,LL-1217,Marketing,Junior Business Partner,People-Business-Partner
EID-1218,LL-1218,Marketing,Marketing Specialist,Product-Management
EID-1219,LL-1219,Logistics,Marketing Operations Assistance,Transportation
EID-1220,LL-1220,Marketing,Senior Financial Officer,General-Marketing
EID-1221,LL-1221,Logistics,Senior People Buniness Partner,People-Business-Partner
EID-1222,LL-1222,Logistics,Junior Business Partner,Logistic-Operations
EID-1223,LL-1223,Marketing,Junior Marketing Operations Analyst,General-Marketing
EID-1224,LL-1224,Marketing,Senior Business Partner,People-Business-Partner
EID-1225,LL-1225,Marketing,Junior Marketing Analyst,General-Marketing
EID-1226,LL-1226,Marketing,Chief Technology Officer,Marketing-Tech
EID-1227,LL-1227,Marketing,People Business Partner,People-Business-Partner
EID-1228,LL-1228,Marketing,Marketing Associate,General-Marketing
EID-1229,LL-1229,Marketing,Senior business partner,People-Business-Partner
EID-1230,LL-1230,Marketing,Senior Operations Analyst,Product-Management
EID-1231,LL-1231,Marketing,SEO Specialist,General-Marketing
EID-1232,LL-1232,Marketing,Junior business partner,People-Business-Partner
EID-1233,LL-1233,Marketing,Website SEO Analyst,Data-Analysis
EID-1234,LL-1234,Marketing,Maketing Analytics Lead,Data-Science
EID-1235,LL-1235,Marketing,Senior Customer Service Manager,Customer-Support
EID-1236,LL-1236,Marketing,Senior Operations Analyst,Product-Management
EID-1237,LL-1237,Marketing,Senior Website Designers,Engineering
EID-1238,LL-1238,Marketing,Senior business partner,People-Business-Partner
EID-1239,LL-1239,Marketing,Senior Operations Analyst,Product-Management
EID-1240,LL-1240,Marketing,Junior Business Partner,People-Business-Partner
EID-1241,LL-1241,Marketing,Junior Operations Analyst,General-Marketing
EID-1242,LL-1242,Marketing,Chief Sales Manager,General-Marketing
EID-1243,LL-1243,Marketing,People Business Partner,Product-Management
EID-1244,LL-1244,Marketing,SEO Specialist,General-Marketing
EID-1245,LL-1245,Marketing,Product Designer Assistance,Product-Management
EID-1246,LL-1246,Marketing,Senior Operations Analyst,Product-Management
EID-1247,LL-1247,Marketing,Junior Business Partner,People-Business-Partner
EID-1248,LL-1248,Marketing,Senior Operations Analyst,Product-Management
EID-1249,LL-1249,Marketing,Web SEO Operation Analyst,Data-Analysis
EID-1250,LL-1250,Marketing,People Business Partner,People-Business-Partner
EID-1251,LL-1251,Logistics,SEO Specialist,Procurement
EID-1252,LL-1252,Marketing,Marketing Specialist,Product-Management
EID-1253,LL-1253,Logistics,Maketing Analytics Lead,Data-Analysis
EID-1254,LL-1254,Marketing,AFC Associate,General-Marketing
EID-1255,LL-1255,Marketing,Marketing SEO Assistance,Product-Management
EID-1256,LL-1256,Logistics,Manager Marketing,Quality-Assurance
EID-1257,LL-1257,Logistics,Manager Marketing Senior,Transportation
EID-1258,LL-1258,Marketing,Senior Manager Marketing,General-Marketing
EID-1259,LL-1259,Logistics,Marketing Manager,Warehousing
EID-1260,LL-1260,Marketing,Senior Manager Marketing,General-Marketing
EID-1261,LL-1261,Marketing,Senior Manager Marketing,General-Marketing
EID-1262,LL-1262,Marketing,Senior Manager Marketing,General-Marketing
EID-1263,LL-1263,Marketing,Senior Manager Marketing,General-Marketing
EID-1264,LL-1264,Marketing,Assitance  Executive Officer,General-Marketing
EID-1265,LL-1265,Marketing,Senior Business Operations Expert,General-Marketing
EID-1266,LL-1266,Productions,Business Operations Analyst,Productions
EID-1267,LL-1267,Marketing,Senior Human Resources Manager,HR-Operations
EID-1268,LL-1268,Logistics,Chief Financial Officer,Logistic-Operations
EID-1269,LL-1269,Logistics,Customer Service Manager,Procurement
EID-1270,LL-1270,Technology,Senior Technology Officer,Engineering
EID-1271,LL-1271,Logistics,Accounting Specialist,Packaging
EID-1272,LL-1272,Operations,SEO Marketing Expert,General-Marketing
EID-1273,LL-1273,Productions,Accounting Specialist,Productions
EID-1274,LL-1274,Logistics,Senior Business Operations Expert,Quality-Assurance
EID-1275,LL-1275,People,Logistics Expert,Logistic-Operations
EID-1276,LL-1276,Operations,Chief Executive Officer,Management
EID-1277,LL-1277,Marketing,IT Support Manager,Marketing-Tech
EID-1278,LL-1278,People,Operations Manager,Operation-Management
EID-1279,LL-1279,People,Executive Office Specialist,Management
EID-1280,LL-1280,Technology,Senior  Marketing Officer,General-Marketing
EID-1281,LL-1281,Operations,SEO Marketing Assistance,General-Marketing
EID-1282,LL-1282,Marketing,Chief Logistics Manager,General-Marketing
EID-1283,LL-1283,Technology,Chief Technology Officer,Engineering
EID-1284,LL-1284,Productions,Senior Operating Officer,Productions
EID-1285,LL-1285,Productions,Business Operations Specialist,Productions
EID-1286,LL-1286,Logistics,Marketing Officer,Transportation
EID-1287,LL-1287,Productions,Manager of Marketing,Productions
EID-1288,LL-1288,People,Marketing Team Lead,General-Marketing
EID-1289,LL-1289,Marketing,Marketing Specialist,Product-Management
EID-1290,LL-1290,Marketing,Sales Manager,Product-Management
EID-1291,LL-1291,Productions,Logistics Manager,Productions
EID-1292,LL-1292,Productions,IT Support Manager,Productions
EID-1293,LL-1293,People,CEO Office Assistance,Management
EID-1294,LL-1294,People,Technical Specialist,People-Tech
EID-1295,LL-1295,Productions,Senior Manager of Technology,Productions
EID-1296,LL-1296,Operations,Senior Technical Lead,Tech-Operations
EID-1297,LL-1297,People,Production Assistance,Product-Management
EID-1298,LL-1298,Technology,SEO Marketing Assistance,General-Marketing
EID-1299,LL-1299,Marketing,Director of Marketing,General-Marketing
EID-1300,LL-1300,Operations,IT Support Specialist,Tech-Operations
EID-1301,LL-1301,Operations,Production Specialist,Product-Management
EID-1302,LL-1302,People,Accounting Specialist,Payroll-Patner
EID-1303,LL-1303,Technology,Customer Service Manager,Customer-Support
EID-1304,LL-1304,Logistics,Director of Marketing,Warehousing
EID-1305,LL-1305,People,Senior Sales Manager,Sales-Operations
EID-1306,LL-1306,Logistics,Marketing Officer Specialist,Logistic-Operations
EID-1307,LL-1307,Operations,Senior Accounting Manager,Financial-Service
EID-1308,LL-1308,Technology,Junior Operations Specialist,Operation-Management
EID-1309,LL-1309,Technology,Senior SEO Marketing Expert,General-Marketing
EID-1310,LL-1310,Productions,Junior Customer Service Specialist,Productions
EID-1311,LL-1311,Marketing,SEO Marketing Expert,General-Marketing
EID-1312,LL-1312,Productions,Chief Marketing Officer,Productions
EID-1313,LL-1313,Productions,Sales Asistance,Productions
EID-1314,LL-1314,Marketing,Senior SEO Marketing Expert,General-Marketing
EID-1315,LL-1315,Operations,Head of Operations,Operation-Management
EID-1316,LL-1316,Operations,Senior Technical Lead,Tech-Operations
EID-1317,LL-1317,Productions,Senior Human Resources Manager,Productions
EID-1318,LL-1318,Logistics,Senior Logistics Manager,Procurement
EID-1319,LL-1319,Operations,SEO Marketing Assistance,General-Marketing
EID-1320,LL-1320,Operations,Sales Asistance,Sales-Operations
EID-1321,LL-1321,Productions,Accounting Manager Leader,Productions
EID-1322,LL-1322,Operations,Chief Financial Officer,Management
EID-1323,LL-1323,Operations,Operation Officer,Operation-Management
EID-1324,LL-1324,People,Production Specialist,Product-Management
EID-1325,LL-1325,People,Logistics Manager,Logistic-Operations
EID-1326,LL-1326,Technology,Junior Operations Specialist,Operation-Management
EID-1327,LL-1327,Operations,Chief Marketing Officer,General-Marketing
EID-1328,LL-1328,Operations,Marketing Officer Assistance,General-Marketing
EID-1329,LL-1329,Logistics,Executive Office Specialist,Packaging
EID-1330,LL-1330,Logistics,Operating Officer Assistance,Quality-Assurance
EID-1331,LL-1331,Productions,SEO Marketing Expert,Productions
EID-1332,LL-1332,Marketing,Executive Office Specialist,General-Marketing
EID-1333,LL-1333,Technology,Director of Marketing,General-Marketing
EID-1334,LL-1334,Productions,Production Assistance,Productions
EID-1335,LL-1335,Operations,Business Operations Analyst,Operation-Management
EID-1336,LL-1336,Operations,Operations Team Lead,Operation-Management
EID-1337,LL-1337,Marketing,Financial Officer Asistance,General-Marketing
EID-1338,LL-1338,Technology,SEO Marketing Expert,General-Marketing
EID-1339,LL-1339,Technology,Business Operations Expert,Management
EID-1340,LL-1340,Marketing,Technical Specialist,Marketing-Tech
EID-1341,LL-1341,Marketing,Senior Operating Officer,General-Marketing
EID-1342,LL-1342,Technology,Operations Team Leader,Operation-Management
EID-1343,LL-1343,Operations,Director of Technology,Tech-Operations
EID-1344,LL-1344,People,Manager of Marketing,General-Marketing
EID-1345,LL-1345,Marketing,Financial Officer Asistance,General-Marketing
EID-1346,LL-1346,Logistics,Marketing Officer Specialist,Transportation
EID-1347,LL-1347,Technology,Logistics Expert,Logistic-Operations
EID-1348,LL-1348,People,Chief Operating Officer,Management
EID-1349,LL-1349,Operations,Operation Officer,Operation-Management
EID-1350,LL-1350,Productions,Operation Officer,Productions
EID-1351,LL-1351,Logistics,Operation Officer,Warehousing
EID-1352,LL-1352,Operations,Marketing Team Lead,General-Marketing
EID-1353,LL-1353,Productions,Human Resources Assistance,Productions
EID-1354,LL-1354,Marketing,Director of Operations,General-Marketing
EID-1355,LL-1355,Logistics,Director of Operations,Logistic-Operations
EID-1356,LL-1356,Marketing,Technical Expert,Marketing-Tech
EID-1357,LL-1357,Technology,Asistance Manager  of Marketing,General-Marketing
EID-1358,LL-1358,People,Customer Service Manager,Customer-Support
EID-1359,LL-1359,Productions,Chief Operating Officer,Productions
EID-1360,LL-1360,Productions,Accounting Manager,Productions
EID-1361,LL-1361,Technology,Senior Financial Officer,Financial-Service
EID-1362,LL-1362,Logistics,Senior Technical Lead,Procurement
EID-1363,LL-1363,Productions,Director of Sales,Productions
EID-1364,LL-1364,Logistics,Junior Operations Specialist,Packaging
EID-1365,LL-1365,Marketing,Manager of Marketing,General-Marketing
EID-1366,LL-1366,People,Director of People Technology,People-Tech
EID-1367,LL-1367,Technology,Chief Operating Officer,Operation-Management
EID-1368,LL-1368,Operations,Business Operations Specialist,Operation-Management
EID-1369,LL-1369,Logistics,Production Manager,Quality-Assurance
EID-1370,LL-1370,Logistics,Head  of IT,Transportation
EID-1371,LL-1371,Marketing,Logistics Management Specialist,Logistic-Operations
EID-1372,LL-1372,People,Senior Manager of Operations,Operation-Management
EID-1373,LL-1373,Marketing,Logistics Manager,Logistic-Operations
EID-1374,LL-1374,Operations,Senior Manager of Operations,Product-Management
EID-1375,LL-1375,Operations,Director of Operations,Operation-Management
EID-1376,LL-1376,Marketing,Production Manager,Product-Management
EID-1377,LL-1377,People,Chief Technology Officer,People-Tech
EID-1378,LL-1378,Operations,Accounting Specialist,Financial-Service
EID-1379,LL-1379,Logistics,Executive Office Specialist,Warehousing
EID-1380,LL-1380,Productions,Junior Operations Specialist,Productions
EID-1381,LL-1381,People,Chief Executive Officer,Management
EID-1382,LL-1382,Productions,Technical Specialist,Productions
EID-1383,LL-1383,Technology,Senior Financial Officer,Financial-Service
EID-1384,LL-1384,Logistics,Marketing Officer Specialist,Logistic-Operations
EID-1385,LL-1385,Logistics,Technical Expert,Procurement
EID-1386,LL-1386,Operations,Chief Technology Officer,Tech-Operations
EID-1387,LL-1387,Operations,Senior Sales Manager,Product-Management
EID-1388,LL-1388,Marketing,Marketing Specialist,Product-Management
EID-1389,LL-1389,Technology,Junior Customer Service Specialist,Programming
EID-1390,LL-1390,People,Manager of Technology,People-Tech
EID-1391,LL-1391,Operations,Head of Logistic Operation,Logistic-Operations
EID-1392,LL-1392,Productions,Chief Operating Officer,Productions
EID-1393,LL-1393,Technology,Manager of Operations,General-Marketing
EID-1394,LL-1394,People,Senior Customer Service Manager,Customer-Support
EID-1395,LL-1395,People,Human Resources Manager,HR-Operations
EID-1396,LL-1396,Productions,Chief Technology Officer,Productions
EID-1397,LL-1397,People,Head of Marketing,General-Marketing
EID-1398,LL-1398,Logistics,IT Support Manager,Packaging
EID-1399,LL-1399,People,Accounting Specialist,Payroll-Patner
EID-1400,LL-1400,Logistics,Director of Operations,Quality-Assurance
EID-1401,LL-1401,Logistics,Accounting Manager,Transportation
EID-1402,LL-1402,Operations,Logistics Manager,Logistic-Operations
EID-1403,LL-1403,Operations,Human Resources Expert,HR-Operations
EID-1404,LL-1404,Technology,Logistics Assistance,Logistic-Operations
EID-1405,LL-1405,Productions,Director of Customer Service ,Productions
EID-1406,LL-1406,People,Accounting Specialist,Payroll-Patner
EID-1407,LL-1407,People,Junior Customer Service Specialist,Customer-Support
EID-1408,LL-1408,People,Executive Office Manager,Management
EID-1409,LL-1409,Logistics,Manager of Marketing,Warehousing
EID-1410,LL-1410,People,Operations Assistance,Operation-Management
EID-1411,LL-1411,Logistics,Senior Production Manager,Logistic-Operations
EID-1412,LL-1412,Logistics,IT Specialist,Procurement
EID-1413,LL-1413,Logistics,Marketing Team Lead,Packaging
EID-1414,LL-1414,Logistics,Customer Service Partner,Quality-Assurance
EID-1415,LL-1415,Operations,IT Support Partner,Tech-Operations
EID-1416,LL-1416,Operations,Head of HR,HR-Operations
EID-1417,LL-1417,Productions,Marketing Manager,Productions
EID-1418,LL-1418,Marketing,SEO Marketing Assistance,General-Marketing
EID-1419,LL-1419,People,Senior Technology Officer,People-Tech
EID-1420,LL-1420,Technology,Logistics Assistance,Logistic-Operations
EID-1421,LL-1421,Productions,Production Assistance,Productions
EID-1422,LL-1422,Productions,Senior Business Operations Expert,Productions
EID-1423,LL-1423,People,Business Operations Specialist,Operation-Management
EID-1424,LL-1424,Operations,SEO Marketing Expert,General-Marketing
EID-1425,LL-1425,People,IT Support Senior Manager,People-Tech
EID-1426,LL-1426,Productions,Executive Office Manager,Productions
EID-1427,LL-1427,Productions,Sales Manager,Productions
EID-1428,LL-1428,Logistics,Marketing Team Lead,Transportation
EID-1429,LL-1429,Productions,Production Manager,Productions
EID-1430,LL-1430,Productions,Chief Operating Officer,Productions
EID-1431,LL-1431,People,Logistics Manager,Logistic-Operations
EID-1432,LL-1432,Productions,Chief Operating Officer,Productions
EID-1433,LL-1433,Logistics,Senior Manager of Technology,Warehousing
EID-1434,LL-1434,Marketing,Senior IT Security Officer,Marketing-Tech
EID-1435,LL-1435,Productions,Logistics Expert,Productions
EID-1436,LL-1436,People,Head  of IT,People-Tech
EID-1437,LL-1437,People,Chief Technology Officer,People-Tech
EID-1438,LL-1438,Logistics,Human Resources Specialist,HR-Operations
