location,level,Cluster,Code,Concate,min,mid,max
Berlin,L5,Procurement,PRM-000,BerlinProcurementL5,119400,137300,155200
Berlin,L6,Procurement,PRM-000,BerlinProcurementL6,146300,168300,190200
Berlin,L7,Procurement,PRM-000,BerlinProcurementL7,178900,205700,232600
Vienna,L1,Procurement,PRM-000,ViennaProcurementL1,36200,41600,47000
Vienna,L2,Procurement,PRM-000,ViennaProcurementL2,56900,65400,74000
Vienna,L3,Procurement,PRM-000,ViennaProcurementL3,69600,80100,90500
Vienna,L4,Procurement,PRM-000,ViennaProcurementL4,84200,96900,109500
Vienna,L5,Procurement,PRM-000,ViennaProcurementL5,125900,144800,163700
Vienna,L6,Procurement,PRM-000,ViennaProcurementL6,164300,188900,213500
Vienna,L7,Procurement,PRM-000,ViennaProcurementL7,185400,213200,241000
Hamburg,L1,Procurement,PRM-000,HamburgProcurementL1,35800,41200,46600
Hamburg,L2,Procurement,PRM-000,HamburgProcurementL2,59400,68300,77200
Hamburg,L3,Procurement,PRM-000,HamburgProcurementL3,66600,76600,86600
Hamburg,L4,Procurement,PRM-000,HamburgProcurementL4,85700,98600,111500
Hamburg,L5,Procurement,PRM-000,HamburgProcurementL5,125800,144700,163500
Hamburg,L6,Procurement,PRM-000,HamburgProcurementL6,158400,182200,205900
Hamburg,L7,Procurement,PRM-000,HamburgProcurementL7,184500,212200,239800
Munich,L1,Procurement,PRM-000,MunichProcurementL1,43700,50200,56800
Munich,L2,Procurement,PRM-000,MunichProcurementL2,57200,65800,74400
Munich,L3,Procurement,PRM-000,MunichProcurementL3,71900,82700,93500
Munich,L4,Procurement,PRM-000,MunichProcurementL4,83500,96000,108600
Munich,L5,Procurement,PRM-000,MunichProcurementL5,129900,149300,168800
Munich,L6,Procurement,PRM-000,MunichProcurementL6,168200,193400,218600
Munich,L7,Procurement,PRM-000,MunichProcurementL7,185100,212800,240600
Frankfurt,L1,Procurement,PRM-000,FrankfurtProcurementL1,36200,41600,47000
Frankfurt,L2,Procurement,PRM-000,FrankfurtProcurementL2,58000,66700,75400
Frankfurt,L3,Procurement,PRM-000,FrankfurtProcurementL3,67100,77200,87300
Frankfurt,L4,Procurement,PRM-000,FrankfurtProcurementL4,88100,101300,114500
Frankfurt,L5,Procurement,PRM-000,FrankfurtProcurementL5,126900,146000,165000
Frankfurt,L6,Procurement,PRM-000,FrankfurtProcurementL6,151600,174300,197100
Frankfurt,L7,Procurement,PRM-000,FrankfurtProcurementL7,189200,217600,246000
Stuttgart,L1,Procurement,PRM-000,StuttgartProcurementL1,37100,42700,48200
Stuttgart,L2,Procurement,PRM-000,StuttgartProcurementL2,55700,64000,72400
Stuttgart,L3,Procurement,PRM-000,StuttgartProcurementL3,69600,80100,90500
Stuttgart,L4,Procurement,PRM-000,StuttgartProcurementL4,82300,94600,107000
Stuttgart,L5,Procurement,PRM-000,StuttgartProcurementL5,117200,134800,152400
Stuttgart,L6,Procurement,PRM-000,StuttgartProcurementL6,165600,190400,215200
Stuttgart,L7,Procurement,PRM-000,StuttgartProcurementL7,175700,202000,228400
Nuremberg,L1,Procurement,PRM-000,NurembergProcurementL1,37900,43600,49300
Nuremberg,L2,Procurement,PRM-000,NurembergProcurementL2,53800,61900,70000
Nuremberg,L3,Procurement,PRM-000,NurembergProcurementL3,67800,77900,88100
Nuremberg,L4,Procurement,PRM-000,NurembergProcurementL4,88300,101600,114800
Nuremberg,L5,Procurement,PRM-000,NurembergProcurementL5,129100,148500,167800
Nuremberg,L6,Procurement,PRM-000,NurembergProcurementL6,167000,192000,217100
Nuremberg,L7,Procurement,PRM-000,NurembergProcurementL7,174300,200500,226600
Madrid,L1,Procurement,PRM-000,MadridProcurementL1,38600,44400,50200
Madrid,L2,Procurement,PRM-000,MadridProcurementL2,51400,59100,66800
Madrid,L3,Procurement,PRM-000,MadridProcurementL3,66500,76400,86400
Madrid,L4,Procurement,PRM-000,MadridProcurementL4,80800,92900,105000
Madrid,L5,Procurement,PRM-000,MadridProcurementL5,129600,149000,168500
Madrid,L6,Procurement,PRM-000,MadridProcurementL6,170000,195500,221000
Madrid,L7,Procurement,PRM-000,MadridProcurementL7,198100,227800,257500
Milan,L1,Procurement,PRM-000,MilanProcurementL1,37000,42600,48100
Milan,L2,Procurement,PRM-000,MilanProcurementL2,59900,68900,77900
Milan,L3,Procurement,PRM-000,MilanProcurementL3,74100,85200,96300
Milan,L4,Procurement,PRM-000,MilanProcurementL4,81100,93200,105400
Milan,L5,Procurement,PRM-000,MilanProcurementL5,113900,131000,148100
Milan,L6,Procurement,PRM-000,MilanProcurementL6,144900,166700,188400
Milan,L7,Procurement,PRM-000,MilanProcurementL7,184000,211600,239200
Paris,L1,Procurement,PRM-000,ParisProcurementL1,44800,51600,58300
Paris,L2,Procurement,PRM-000,ParisProcurementL2,58300,67100,75800
Paris,L3,Procurement,PRM-000,ParisProcurementL3,65100,74800,84600
Paris,L4,Procurement,PRM-000,ParisProcurementL4,90000,103500,117000
Paris,L5,Procurement,PRM-000,ParisProcurementL5,129200,148600,168000
Paris,L6,Procurement,PRM-000,ParisProcurementL6,167800,193000,218100
Paris,L7,Procurement,PRM-000,ParisProcurementL7,191100,219700,248400
Amstandarm,L1,Procurement,PRM-000,AmstandarmProcurementL1,43900,50500,57100
Amstandarm,L2,Procurement,PRM-000,AmstandarmProcurementL2,54700,62900,71200
Amstandarm,L3,Procurement,PRM-000,AmstandarmProcurementL3,65300,75100,84900
Amstandarm,L4,Procurement,PRM-000,AmstandarmProcurementL4,85000,97700,110500
Amstandarm,L5,Procurement,PRM-000,AmstandarmProcurementL5,123100,141600,160100
Amstandarm,L6,Procurement,PRM-000,AmstandarmProcurementL6,155700,179100,202500
Amstandarm,L7,Procurement,PRM-000,AmstandarmProcurementL7,195000,224200,253500
Barcelona,L1,Packaging,PKG-000,BarcelonaPackagingL1,44500,51200,57900
Barcelona,L2,Packaging,PKG-000,BarcelonaPackagingL2,55300,63500,71800
Barcelona,L3,Packaging,PKG-000,BarcelonaPackagingL3,74100,85200,96300
Barcelona,L4,Packaging,PKG-000,BarcelonaPackagingL4,81500,93700,105900
Barcelona,L5,Packaging,PKG-000,BarcelonaPackagingL5,120400,138500,156500
Barcelona,L6,Packaging,PKG-000,BarcelonaPackagingL6,165800,190700,215600
Barcelona,L7,Packaging,PKG-000,BarcelonaPackagingL7,197700,227400,257000
Warsaw,L1,Packaging,PKG-000,WarsawPackagingL1,35700,41000,46400
Warsaw,L2,Packaging,PKG-000,WarsawPackagingL2,55500,63800,72100
Warsaw,L3,Packaging,PKG-000,WarsawPackagingL3,73700,84800,95800
Warsaw,L4,Packaging,PKG-000,WarsawPackagingL4,89900,103400,116900
Warsaw,L5,Packaging,PKG-000,WarsawPackagingL5,127800,147000,166200
Warsaw,L6,Packaging,PKG-000,WarsawPackagingL6,157400,181000,204600
Warsaw,L7,Packaging,PKG-000,WarsawPackagingL7,175800,202200,228500
Berlin,L1,Packaging,PKG-000,BerlinPackagingL1,44100,50700,57300
Berlin,L2,Packaging,PKG-000,BerlinPackagingL2,52800,60700,68600
Berlin,L3,Packaging,PKG-000,BerlinPackagingL3,67900,78000,88200
Berlin,L4,Packaging,PKG-000,BerlinPackagingL4,82200,94500,106900
Berlin,L5,Packaging,PKG-000,BerlinPackagingL5,111100,127800,144400
Berlin,L6,Packaging,PKG-000,BerlinPackagingL6,146200,168100,190000
Berlin,L7,Packaging,PKG-000,BerlinPackagingL7,187400,215500,243600
Vienna,L1,Packaging,PKG-000,ViennaPackagingL1,43200,49700,56200
Vienna,L2,Packaging,PKG-000,ViennaPackagingL2,55100,63300,71600
Vienna,L3,Packaging,PKG-000,ViennaPackagingL3,69800,80300,90700
Vienna,L4,Packaging,PKG-000,ViennaPackagingL4,80400,92500,104500
Vienna,L5,Packaging,PKG-000,ViennaPackagingL5,129400,148800,168200
Vienna,L6,Packaging,PKG-000,ViennaPackagingL6,168400,193600,218900
Vienna,L7,Packaging,PKG-000,ViennaPackagingL7,182400,209700,237100
Hamburg,L1,Packaging,PKG-000,HamburgPackagingL1,37900,43500,49200
Hamburg,L2,Packaging,PKG-000,HamburgPackagingL2,57500,66200,74800
Hamburg,L3,Packaging,PKG-000,HamburgPackagingL3,74100,85200,96300
Hamburg,L4,Packaging,PKG-000,HamburgPackagingL4,83800,96400,108900
Hamburg,L5,Packaging,PKG-000,HamburgPackagingL5,121600,139800,158000
Hamburg,L6,Packaging,PKG-000,HamburgPackagingL6,157300,180900,204600
Hamburg,L7,Packaging,PKG-000,HamburgPackagingL7,183900,211500,239100
Munich,L1,Packaging,PKG-000,MunichPackagingL1,37000,42600,48100
Munich,L2,Packaging,PKG-000,MunichPackagingL2,59400,68300,77200
Munich,L3,Packaging,PKG-000,MunichPackagingL3,73000,84000,94900
Munich,L4,Packaging,PKG-000,MunichPackagingL4,82800,95300,107700
Munich,L5,Packaging,PKG-000,MunichPackagingL5,117400,135000,152600
Munich,L6,Packaging,PKG-000,MunichPackagingL6,146100,168100,190000
Munich,L7,Packaging,PKG-000,MunichPackagingL7,174000,200200,226300
Frankfurt,L1,Packaging,PKG-000,FrankfurtPackagingL1,40800,46900,53100
Frankfurt,L2,Packaging,PKG-000,FrankfurtPackagingL2,59400,68300,77200
Frankfurt,L3,Packaging,PKG-000,FrankfurtPackagingL3,72600,83500,94400
Frankfurt,L4,Packaging,PKG-000,FrankfurtPackagingL4,86400,99400,112300
Frankfurt,L5,Packaging,PKG-000,FrankfurtPackagingL5,128300,147500,166800
Frankfurt,L6,Packaging,PKG-000,FrankfurtPackagingL6,142600,164000,185400
Frankfurt,L7,Packaging,PKG-000,FrankfurtPackagingL7,196700,226200,255700
Stuttgart,L1,Packaging,PKG-000,StuttgartPackagingL1,42300,48600,54900
Stuttgart,L2,Packaging,PKG-000,StuttgartPackagingL2,55500,63800,72100
